GA,55,1,1739.0,32.0,98.193,2764.0,66.0,97.668,10.477,0.040
RHC,56,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.525,0.110
SA,56,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.160,0.027
GA,56,1,1739.0,32.0,98.193,2764.0,66.0,97.668,10.714,0.039
RHC,57,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.534,0.141
SA,57,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.165,0.032
GA,57,1,1739.0,32.0,98.193,2764.0,66.0,97.668,11.061,0.035
RHC,58,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.507,0.143
SA,58,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.135,0.031
GA,58,1,1739.0,32.0,98.193,2764.0,66.0,97.668,11.198,0.042
RHC,59,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.521,0.142
SA,59,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.171,0.020
GA,59,1,1739.0,32.0,98.193,2764.0,66.0,97.668,11.337,0.059
RHC,60,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.559,0.128
SA,60,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.167,0.027
GA,60,1,1739.0,32.0,98.193,2764.0,66.0,97.668,11.876,0.028
RHC,61,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.631,0.149
SA,61,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.177,0.019
GA,61,1,1739.0,32.0,98.193,2764.0,66.0,97.668,12.291,0.034
RHC,62,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.568,0.172
SA,62,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.161,0.019
GA,62,1,1739.0,32.0,98.193,2764.0,66.0,97.668,12.055,0.041
RHC,63,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.584,0.230
SA,63,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.278,0.244
GA,63,1,1739.0,32.0,98.193,2764.0,66.0,97.668,13.387,0.043
RHC,64,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.590,0.202
SA,64,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.232,0.028
GA,64,1,1739.0,32.0,98.193,2764.0,66.0,97.668,12.302,0.042
RHC,65,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.655,0.156
SA,65,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.228,0.036
GA,65,1,1739.0,32.0,98.193,2764.0,66.0,97.668,13.130,0.168
RHC,66,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.657,0.144
SA,66,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.177,0.025
GA,66,1,1739.0,32.0,98.193,2764.0,66.0,97.668,12.867,0.039
RHC,67,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.609,0.117
SA,67,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.207,0.032
GA,67,1,1739.0,32.0,98.193,2764.0,66.0,97.668,12.932,0.041
RHC,68,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.724,0.118
SA,68,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.178,0.038
GA,68,1,1739.0,32.0,98.193,2764.0,66.0,97.668,13.521,0.045
RHC,69,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.642,0.155
SA,69,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.191,0.019
GA,69,1,1739.0,32.0,98.193,2764.0,66.0,97.668,13.301,0.103
